productID,pharmaID,batchCode,medicineName,composition,description,category,prescriptionRequired,manufacturer,quantity,mrpWithDiscount,price,pricePerUnit,unitsAvailable,threshold,storageCondition,manufacturedDate,expiryDate,status,lastUpdated
PRD0011,PH001,,Doxycycline,Doxycycline,,Prescription Medicines,Yes,Cipla,Standard Pack,,624,16,,15,Store below 25°C,19-08-2024,29-12-2026,AVAILABLE,27-01-2026
PRD0012,PH001,,Prednisolone,Prednisolone,,Prescription Medicines,Yes,Cipla,Standard Pack,,2550,30,,15,Store below 25°C,17-04-2025,13-04-2026,AVAILABLE,27-01-2026
PRD0013,PH001,,Montelukast,Montelukast,,Prescription Medicines,Yes,Mankind,Standard Pack,,5181,33,,15,Store below 25°C,03-08-2025,14-03-2026,EXPIRING_SOON,27-01-2026
PRD0014,PH001,,Escitalopram,Escitalopram,,Prescription Medicines,Yes,Cipla,Standard Pack,,5548,38,,15,Store below 25°C,10-09-2025,23-02-2027,AVAILABLE,27-01-2026
PRD0015,PH001,,Olanzapine,Olanzapine,,Prescription Medicines,Yes,Sun Pharma,Standard Pack,,420,12,,15,Store below 25°C,27-07-2025,13-08-2026,AVAILABLE,27-01-2026
PRD0016,PH001,,,Paracetamol,,OTC Medicines,,Abbott,Standard Pack,,121,11,,,,05-10-2025,13-03-2028,AVAILABLE,27-01-2026
PRD0017,PH001,,Ibuprofen,Ibuprofen,,OTC Medicines,,Sun Pharma,Standard Pack,,3174,46,,,,15-06-2024,22-10-2025,EXPIRED,27-01-2026
PRD0018,PH001,,Cetirizine,Cetirizine,,OTC Medicines,,Mankind,Standard Pack,,6972,42,,,,04-03-2025,17-11-2026,AVAILABLE,27-01-2026
PRD0019,PH001,,ORS,ORS,,OTC Medicines,,Dr Reddyâ€™s,Standard Pack,,4800,48,,,,16-05-2025,24-10-2026,AVAILABLE,27-01-2026
PRD0020,PH001,,Digene,Digene,,OTC Medicines,,Dr Reddyâ€™s,Standard Pack,,4464,36,,,,03-09-2025,14-01-2027,AVAILABLE,27-01-2026
PRD0021,PH001,,Vicks,Vicks,,OTC Medicines,,Cipla,Standard Pack,,3612,21,,,,25-06-2025,19-11-2027,AVAILABLE,27-01-2026
PRD0022,PH001,,Benadryl,Benadryl,,OTC Medicines,,Dr Reddyâ€™s,Standard Pack,,3927,21,,,,13-12-2024,23-05-2027,AVAILABLE,27-01-2026
PRD0023,PH001,,Calpol,Electral,,OTC Medicines,,Sun Pharma,Standard Pack,,4407,39,,,,01-09-2025,18-01-2028,AVAILABLE,27-01-2026
PRD0024,PH001,,Saridon,Saridon,,OTC Medicines,,Mankind,Standard Pack,,7052,43,,,,04-03-2025,19-02-2026,EXPIRING_SOON,27-01-2026
PRD0025,PH001,,Dolo 650,Dolo 650,,OTC Medicines,,Abbott,Standard Pack,,384,16,,,,29-06-2025,09-06-2027,AVAILABLE,27-01-2026
PRD0026,PH001,,Ascoril,Ascoril,,OTC Medicines,,Sun Pharma,Standard Pack,,9108,46,,,,04-03-2025,15-02-2027,AVAILABLE,27-01-2026
PRD0027,PH001,,Zincovit,Zincovit,,OTC Medicines,,Cipla,Standard Pack,,570,15,,,,08-10-2025,08-01-2027,AVAILABLE,27-01-2026
PRD0028,PH001,,Crocin 650,Crocin,,OTC Medicines,,Abbott,Standard Pack,,900,5,,,,08-10-2025,10-04-2026,AVAILABLE,27-01-2026
PRD0029,PH001,,Strepsils,Strepsils,,OTC Medicines,,Cipla,Standard Pack,,4794,34,,,,24-01-2025,31-08-2026,AVAILABLE,27-01-2026
PRD0030,PH001,,Disprin,Disprin,,OTC Medicines,,Sun Pharma,Standard Pack,,1826,11,,,,26-06-2025,15-05-2027,AVAILABLE,27-01-2026
PRD0031,PH001,,Insulin,Insulin,,Chronic Care Medicines,,Cipla,Standard Pack,,2408,14,,,,12-09-2025,20-12-2027,AVAILABLE,27-01-2026
PRD0032,PH001,,Metformin XR,Metformin XR,,Chronic Care Medicines,,Dr Reddyâ€™s,Standard Pack,,1368,24,,,,14-06-2025,25-09-2026,AVAILABLE,27-01-2026
PRD0033,PH001,,Glimepiride,Glimepiride,,Chronic Care Medicines,,Dr Reddyâ€™s,Standard Pack,,3528,28,,,,07-07-2025,25-06-2027,AVAILABLE,27-01-2026
PRD0034,PH001,,Atenolol,Atenolol,,Chronic Care Medicines,,Abbott,Standard Pack,,3016,29,,,,16-07-2024,21-12-2026,AVAILABLE,27-01-2026
PRD0035,PH001,,Ramipril,Ramipril,,Chronic Care Medicines,,Dr Reddyâ€™s,Standard Pack,,2700,20,,,,03-05-2024,16-11-2024,EXPIRED,27-01-2026
PRD0036,PH001,,Rosuvastatin,Rosuvastatin,,Chronic Care Medicines,,Cipla,Standard Pack,,2448,34,,,,25-09-2024,29-08-2026,AVAILABLE,27-01-2026
PRD0037,PH001,,Clopidogrel,Clopidogrel,,Chronic Care Medicines,,Abbott,Standard Pack,,595,7,,,,14-10-2024,26-11-2026,AVAILABLE,27-01-2026
PRD0038,PH001,,Levothyroxine,Levothyroxine,,Chronic Care Medicines,,Sun Pharma,Standard Pack,,891,9,,,,26-05-2024,09-08-2025,EXPIRED,27-01-2026
PRD0039,PH001,,Sitagliptin,Sitagliptin,,Chronic Care Medicines,,Mankind,Standard Pack,,2613,39,,,,30-06-2025,26-04-2026,AVAILABLE,27-01-2026
PRD0040,PH001,,Pioglitazone,Pioglitazone,,Chronic Care Medicines,,Abbott,Standard Pack,,1596,14,,,,04-10-2024,29-01-2027,AVAILABLE,27-01-2026
PRD0041,PH001,,Nebivolol,Nebivolol,,Chronic Care Medicines,,Dr Reddyâ€™s,Standard Pack,,1230,10,,,,26-08-2025,01-03-2027,AVAILABLE,27-01-2026
PRD0042,PH001,,Carvedilol,Carvedilol,,Chronic Care Medicines,,Dr Reddyâ€™s,Standard Pack,,2156,28,,,,21-03-2025,11-02-2026,EXPIRING_SOON,27-01-2026
PRD0043,PH001,,Ezetimibe,Ezetimibe,,Chronic Care Medicines,,Cipla,Standard Pack,,1792,16,,,,14-05-2025,08-07-2026,AVAILABLE,27-01-2026
PRD0044,PH001,,Valsartan,Valsartan,,Chronic Care Medicines,,Mankind,Standard Pack,,460,5,,,,10-11-2024,22-01-2026,EXPIRED,27-01-2026
PRD0045,PH001,,Empagliflozin,Empagliflozin,,Chronic Care Medicines,,Abbott,Standard Pack,,1755,9,,,,03-01-2025,07-09-2026,AVAILABLE,27-01-2026
PRD0046,PH001,,Diclofenac,Diclofenac,,Acute Care Medicines,,Sun Pharma,Standard Pack,,1190,14,,,,17-07-2025,26-07-2026,AVAILABLE,27-01-2026
PRD0047,PH001,,Naproxen,Naproxen,,Acute Care Medicines,,Mankind,Standard Pack,,957,29,,,,01-10-2025,21-12-2027,AVAILABLE,27-01-2026
PRD0048,PH001,,Aceclofenac,Aceclofenac,,Acute Care Medicines,,Mankind,Standard Pack,,984,12,,,,24-05-2025,25-03-2027,AVAILABLE,27-01-2026
PRD0049,PH001,,Ondansetron,Ondansetron,,Acute Care Medicines,,Mankind,Standard Pack,,5811,39,,,,08-09-2024,24-07-2025,EXPIRED,27-01-2026
PRD0050,PH001,,Ranitidine,Ranitidine,,Acute Care Medicines,,Sun Pharma,Standard Pack,,2318,38,,,,28-07-2025,29-07-2026,AVAILABLE,27-01-2026
PRD0051,PH001,,Ciprofloxacin,Ciprofloxacin,,Acute Care Medicines,,Sun Pharma,Standard Pack,,3720,31,,,,12-10-2024,09-08-2026,AVAILABLE,27-01-2026
PRD0052,PH001,,Ofloxacin,Ofloxacin,,Acute Care Medicines,,Mankind,Standard Pack,,1850,50,,,,23-08-2025,12-10-2027,AVAILABLE,27-01-2026
PRD0053,PH001,,Tinidazole,Tinidazole,,Acute Care Medicines,,Sun Pharma,Standard Pack,,1320,20,,,,01-03-2025,23-05-2027,AVAILABLE,27-01-2026
PRD0054,PH001,,Metronidazole,Metronidazole,,Acute Care Medicines,,Dr Reddyâ€™s,Standard Pack,,4375,35,,,,08-06-2024,28-07-2026,AVAILABLE,27-01-2026
PRD0055,PH001,,Tramadol,Tramadol,,Acute Care Medicines,,Dr Reddyâ€™s,Standard Pack,,2544,24,,,,17-09-2024,10-07-2026,AVAILABLE,27-01-2026
PRD0056,PH001,,Ketorolac,Ketorolac,,Acute Care Medicines,,Sun Pharma,Standard Pack,,4031,29,,,,02-05-2024,07-06-2026,AVAILABLE,27-01-2026
PRD0057,PH001,,Domperidone,Domperidone,,Acute Care Medicines,,Dr Reddyâ€™s,Standard Pack,,1485,9,,,,26-04-2025,20-08-2027,AVAILABLE,27-01-2026
PRD0058,PH001,,Loperamide,Loperamide,,Acute Care Medicines,,Abbott,Standard Pack,,3667,19,,,,07-10-2024,14-11-2025,EXPIRED,27-01-2026
PRD0059,PH001,,Chlorpheniramine,Chlorpheniramine,,Acute Care Medicines,,Dr Reddyâ€™s,Standard Pack,,5920,37,,,,24-06-2024,12-05-2025,EXPIRED,27-01-2026
PRD0060,PH001,,Hydroxychloroquine,Hydroxychloroquine,,Acute Care Medicines,,Sun Pharma,Standard Pack,,3320,40,,,,30-06-2024,23-11-2025,EXPIRED,27-01-2026
PRD0061,PH001,,Zincovit,Zincovit,,Supplements & Nutrition,,Dr Reddyâ€™s,Standard Pack,,1480,20,,,,21-07-2024,22-04-2025,EXPIRED,27-01-2026
PRD0062,PH001,,Becosules,Becosules,,Supplements & Nutrition,,Dr Reddyâ€™s,Standard Pack,,5249,29,,,,02-03-2024,14-02-2026,EXPIRING_SOON,27-01-2026
PRD0063,PH001,,Revital H,Revital H,,Supplements & Nutrition,,Cipla,Standard Pack,,3920,49,,,,12-01-2025,04-03-2026,EXPIRING_SOON,27-01-2026
PRD0064,PH001,,Supradyn,Supradyn,,Supplements & Nutrition,,Abbott,Standard Pack,,555,37,,,,30-05-2025,07-03-2026,EXPIRING_SOON,27-01-2026
PRD0065,PH001,,Shelcal,Shelcal,,Supplements & Nutrition,,Abbott,Standard Pack,,5848,43,,,,15-08-2025,19-07-2026,AVAILABLE,27-01-2026
PRD0066,PH001,,Caltrate,Caltrate,,Supplements & Nutrition,,Abbott,Standard Pack,,3510,45,,,,23-05-2024,27-06-2026,AVAILABLE,27-01-2026
PRD0067,PH001,,Neurobion,Neurobion,,Supplements & Nutrition,,Dr Reddyâ€™s,Standard Pack,,3078,27,,,,13-10-2025,27-02-2027,AVAILABLE,27-01-2026
PRD0068,PH001,,Health OK,Health OK,,Supplements & Nutrition,,Abbott,Standard Pack,,1540,14,,,,21-03-2025,09-04-2026,AVAILABLE,27-01-2026
PRD0069,PH001,,Ensure,Ensure,,Supplements & Nutrition,,Sun Pharma,Standard Pack,,700,10,,,,05-11-2024,20-03-2026,EXPIRING_SOON,27-01-2026
PRD0070,PH001,,Pediasure,Pediasure,,Supplements & Nutrition,,Sun Pharma,Standard Pack,,2478,42,,,,09-04-2025,15-09-2026,AVAILABLE,27-01-2026
PRD0071,PH001,,Proteinex,Proteinex,,Supplements & Nutrition,,Dr Reddyâ€™s,Standard Pack,,1734,17,,,,10-12-2024,22-06-2025,EXPIRED,27-01-2026
PRD0072,PH001,,Dexorange,Dexorange,,Supplements & Nutrition,,Abbott,Standard Pack,,2838,22,,,,06-07-2024,20-10-2025,EXPIRED,27-01-2026
PRD0073,PH001,,Feroglobin,Feroglobin,,Supplements & Nutrition,,Abbott,Standard Pack,,2772,44,,,,07-04-2024,27-05-2026,AVAILABLE,27-01-2026
PRD0074,PH001,,Nutrilite,Nutrilite,,Supplements & Nutrition,,Cipla,Standard Pack,,115,5,,,,13-07-2024,05-09-2025,EXPIRED,27-01-2026
PRD0075,PH001,,Wellman,Wellman,,Supplements & Nutrition,,Dr Reddyâ€™s,Standard Pack,,144,12,,,,11-12-2024,28-01-2026,EXPIRING_SOON,27-01-2026
PRD0076,PH001,,Betnovate,Betnovate,,Topical Medicines,,Abbott,Standard Pack,,5400,45,,,,01-11-2024,12-02-2027,AVAILABLE,27-01-2026
PRD0077,PH001,,Candid Cream,Candid Cream,,Topical Medicines,,Dr Reddyâ€™s,Standard Pack,,1161,43,,,,20-06-2025,27-03-2027,AVAILABLE,27-01-2026
PRD0078,PH001,,Soframycin,Soframycin,,Topical Medicines,,Cipla,Standard Pack,,1566,18,,,,19-05-2024,13-07-2025,EXPIRED,27-01-2026
PRD0079,PH001,,Boroline,Boroline,,Topical Medicines,,Dr Reddyâ€™s,Standard Pack,,1088,16,,,,13-07-2024,22-02-2026,EXPIRING_SOON,27-01-2026
PRD0080,PH001,,Neosporin,Neosporin,,Topical Medicines,,Cipla,Standard Pack,,1422,18,,,,15-10-2024,30-10-2025,EXPIRED,27-01-2026
PRD0081,PH001,,Itch Guard,Itch Guard,,Topical Medicines,,Dr Reddyâ€™s,Standard Pack,,6327,37,,,,15-03-2024,25-02-2025,EXPIRED,27-01-2026
PRD0082,PH001,,Quadriderm,Quadriderm,,Topical Medicines,,Abbott,Standard Pack,,1440,15,,,,24-05-2025,24-07-2027,AVAILABLE,27-01-2026
PRD0083,PH001,,Zandu Balm,Zandu Balm,,Topical Medicines,,Cipla,Standard Pack,,4851,33,,,,07-05-2025,28-11-2026,AVAILABLE,27-01-2026
PRD0084,PH001,,Voveran Gel,Voveran Gel,,Topical Medicines,,Mankind,Standard Pack,,6716,46,,,,12-11-2024,16-11-2025,EXPIRED,27-01-2026
PRD0085,PH001,,Omnigel Pain Relief Gel,Pain Relief Gel,,Topical Medicines,,Dr Reddyâ€™s,Standard Pack,,2583,21,,,,25-05-2025,10-09-2026,AVAILABLE,27-01-2026
PRD0086,PH001,,Volini,Volini,,Topical Medicines,,Mankind,Standard Pack,,3150,21,,,,16-05-2024,10-04-2026,AVAILABLE,27-01-2026
PRD0087,PH001,,Iodex,Iodex,,Topical Medicines,,Cipla,Standard Pack,,3243,47,,,,08-08-2024,30-05-2026,AVAILABLE,27-01-2026
PRD0088,PH001,,Ring Guard,Ring Guard,,Topical Medicines,,Mankind,Standard Pack,,3948,47,,,,11-09-2025,28-09-2027,AVAILABLE,27-01-2026
PRD0089,PH001,,Canesten,Canesten,,Topical Medicines,,Dr Reddyâ€™s,Standard Pack,,1824,32,,,,16-06-2024,03-10-2026,AVAILABLE,27-01-2026
PRD0090,PH001,,Clobetasol,Clobetasol,,Topical Medicines,,Cipla,Standard Pack,,1632,24,,,,24-01-2025,03-04-2026,AVAILABLE,27-01-2026
PRD0091,PH001,,Insulin Injection,Insulin Injection,,Injectables & Vaccines,,Sun Pharma,Standard Pack,,3887,23,,,,23-04-2025,27-08-2027,AVAILABLE,27-01-2026
PRD0092,PH001,,Hepatitis B Vaccine,Hepatitis B Vaccine,,Injectables & Vaccines,,Mankind,Standard Pack,,374,17,,,,11-03-2024,10-09-2025,EXPIRED,27-01-2026
PRD0093,PH001,,TT Injection,TT Injection,,Injectables & Vaccines,,Cipla,Standard Pack,,2100,15,,,,18-08-2024,08-06-2026,AVAILABLE,27-01-2026
PRD0094,PH001,,BCG Vaccine,BCG Vaccine,,Injectables & Vaccines,,Sun Pharma,Standard Pack,,5040,28,,,,23-04-2025,02-09-2027,AVAILABLE,27-01-2026
PRD0095,PH001,,Rabies Vaccine,Rabies Vaccine,,Injectables & Vaccines,,Mankind,Standard Pack,,423,9,,,,17-12-2024,29-08-2026,AVAILABLE,27-01-2026
PRD0096,PH001,,Ceftriaxone Injection,Ceftriaxone Injection,,Injectables & Vaccines,,Cipla,Standard Pack,,4128,24,,,,04-09-2025,01-12-2026,AVAILABLE,27-01-2026
PRD0097,PH001,,Adrenaline Injection,Adrenaline Injection,,Injectables & Vaccines,,Abbott,Standard Pack,,1554,42,,,,20-12-2024,17-06-2026,AVAILABLE,27-01-2026
PRD0098,PH001,,Dexamethasone Injection,Dexamethasone Injection,,Injectables & Vaccines,,Mankind,Standard Pack,,5250,30,,,,01-07-2025,05-11-2026,AVAILABLE,27-01-2026
PRD0099,PH001,,Iron Sucrose Injection,Iron Sucrose Injection,,Injectables & Vaccines,,Abbott,Standard Pack,,1722,21,,,,02-07-2025,19-11-2027,AVAILABLE,27-01-2026
PRD0100,PH001,,MMR Vaccine,MMR Vaccine,,Injectables & Vaccines,,Cipla,Standard Pack,,1545,15,,,,03-07-2024,28-08-2025,EXPIRED,27-01-2026
PRD0101,PH001,,Flu Vaccine,Flu Vaccine,,Injectables & Vaccines,,Dr Reddyâ€™s,Standard Pack,,529,23,,,,22-06-2025,04-09-2027,AVAILABLE,27-01-2026
PRD0102,PH001,,Vitamin B12 Injection,Vitamin B12 Injection,,Injectables & Vaccines,,Mankind,Standard Pack,,2310,42,,,,29-05-2024,13-01-2026,EXPIRED,27-01-2026
PRD0103,PH001,,Digital Thermometer,Digital Thermometer,,Medical Devices,,Dr Reddyâ€™s,Standard Pack,,3724,49,,,,28-02-2025,09-06-2026,AVAILABLE,27-01-2026
PRD0104,PH001,,BP Monitor,BP Monitor,,Medical Devices,,Dr Reddyâ€™s,Standard Pack,,2363,17,,,,03-06-2025,04-03-2027,AVAILABLE,27-01-2026
PRD0105,PH001,,Glucometer,Glucometer,,Medical Devices,,Cipla,Standard Pack,,4477,37,,,,08-06-2025,30-12-2025,EXPIRED,27-01-2026
PRD0106,PH001,,Pulse Oximeter,Pulse Oximeter,,Medical Devices,,Mankind,Standard Pack,,2378,29,,,,12-08-2025,23-02-2026,EXPIRING_SOON,27-01-2026
PRD0107,PH001,,Nebulizer,Nebulizer,,Medical Devices,,Mankind,Standard Pack,,2101,11,,,,02-09-2024,10-05-2025,EXPIRED,27-01-2026
PRD0108,PH001,,Insulin Pen,Insulin Pen,,Medical Devices,,Cipla,Standard Pack,,8500,50,,,,16-09-2024,20-01-2027,AVAILABLE,27-01-2026
PRD0109,PH001,,Weighing Scale,Weighing Scale,,Medical Devices,,Dr Reddyâ€™s,Standard Pack,,5544,28,,,,18-04-2025,14-05-2027,AVAILABLE,27-01-2026
PRD0110,PH001,,Infrared Thermometer,Infrared Thermometer,,Medical Devices,,Mankind,Standard Pack,,210,21,,,,02-08-2025,12-07-2026,AVAILABLE,27-01-2026
PRD0111,PH001,,Wheelchair,Wheelchair,,Medical Devices,,Mankind,Standard Pack,,2100,15,,,,03-08-2025,13-12-2027,AVAILABLE,27-01-2026
PRD0112,PH001,,Surgical Mask,Surgical Mask,,Medical Devices,,Cipla,Standard Pack,,4225,25,,,,27-05-2025,28-10-2027,AVAILABLE,27-01-2026
PRD0113,PH001,,N95 Mask,N95 Mask,,Medical Devices,,Abbott,Standard Pack,,968,11,,,,07-06-2025,05-08-2026,AVAILABLE,27-01-2026
PRD0114,PH001,,Oxygen Cylinder,Oxygen Cylinder,,Medical Devices,,Dr Reddyâ€™s,Standard Pack,,8050,46,,,,01-03-2025,10-07-2027,AVAILABLE,27-01-2026
PRD0115,PH001,,Hearing Aid,Hearing Aid,,Medical Devices,,Mankind,Standard Pack,,3650,50,,,,23-09-2024,21-08-2026,AVAILABLE,27-01-2026
PRD0116,PH001,,CPAP Machine,CPAP Machine,,Medical Devices,,Sun Pharma,Standard Pack,,1305,9,,,,08-05-2025,29-06-2026,AVAILABLE,27-01-2026
PRD0117,PH001,,Syringes,Syringes,,Surgical & Consumables,,Cipla,Standard Pack,,1305,29,,,,19-08-2024,22-10-2026,AVAILABLE,27-01-2026
PRD0118,PH001,,IV Cannula,IV Cannula,,Surgical & Consumables,,Abbott,Standard Pack,,9024,48,,,,01-03-2024,29-06-2026,AVAILABLE,27-01-2026
PRD0119,PH001,,Cotton Roll,Cotton Roll,,Surgical & Consumables,,Cipla,Standard Pack,,8694,46,,,,14-05-2025,04-12-2026,AVAILABLE,27-01-2026
PRD0120,PH001,,Gauze Pads,Gauze Pads,,Surgical & Consumables,,Sun Pharma,Standard Pack,,1742,13,,,,06-09-2025,29-08-2026,AVAILABLE,27-01-2026
PRD0121,PH001,,Bandage Roll,Bandage Roll,,Surgical & Consumables,,Cipla,Standard Pack,,9750,50,,,,29-07-2024,07-03-2026,EXPIRING_SOON,27-01-2026
PRD0122,PH001,,Surgical Gloves,Surgical Gloves,,Surgical & Consumables,,Cipla,Standard Pack,,2976,32,,,,20-06-2025,22-03-2026,EXPIRING_SOON,27-01-2026
PRD0123,PH001,,Face Mask,Face Mask,,Surgical & Consumables,,Abbott,Standard Pack,,1541,23,,,,18-03-2024,03-06-2025,EXPIRED,27-01-2026
PRD0124,PH001,,Scalpel Blade,Scalpel Blade,,Surgical & Consumables,,Abbott,Standard Pack,,8878,46,,,,19-03-2025,09-03-2027,AVAILABLE,27-01-2026
PRD0125,PH001,,Suture Material,Suture Material,,Surgical & Consumables,,Cipla,Standard Pack,,2047,23,,,,04-08-2024,17-09-2026,AVAILABLE,27-01-2026
PRD0126,PH001,,Disposable Apron,Disposable Apron,,Surgical & Consumables,,Mankind,Standard Pack,,8832,48,,,,04-03-2025,24-10-2026,AVAILABLE,27-01-2026
PRD0127,PH001,,Urine Bag,Urine Bag,,Surgical & Consumables,,Sun Pharma,Standard Pack,,5712,34,,,,04-04-2024,01-01-2025,EXPIRED,27-01-2026
