simulation_step,half_step,date,medicine_id,medicine_name,starting_stock,reorder_point,target_stock,safety_stock,received_replenishment,scenario_demand,ending_stock,lost_sales,reorder,order_placed
1,1,2026-01-01,MED015,Diclofenac 50 mg,140.0,124.88,332.54,21.05,0.0,107.0,33.0,0.0,True,299.54
1,1,2026-01-01,MED016,Cefixime 200 mg,355.0,344.81,977.5,28.46,0.0,286.5,68.5,0.0,True,909.0
1,1,2026-01-01,MED017,Vitamin D3 60000 IU,520.0,496.9,1404.11,43.29,0.0,418.5,101.5,0.0,True,1302.61
1,1,2026-01-01,MED018,Zinc Sulfate 50 mg,160.0,141.26,401.65,11.06,0.0,123.5,36.5,0.0,True,365.15
1,1,2026-01-01,MED019,Iron Folic Acid,120.0,137.45,361.02,25.67,0.0,107.5,12.5,0.0,True,348.52
1,1,2026-01-01,MED020,Calcium Carbonate,340.0,287.06,817.49,21.84,0.0,247.5,92.5,0.0,True,724.99
1,1,2026-01-01,MED021,Clopidogrel 75 mg,390.0,393.6,1123.25,28.78,0.0,330.0,60.0,0.0,True,1063.25
1,1,2026-01-01,MED022,Ecosprin 75 Tablet,150.0,115.16,312.58,16.45,0.0,79.0,71.0,0.0,True,241.58
1,1,2026-01-01,MED023,Glimepiride 2 mg,210.0,205.76,580.1,18.6,0.0,174.5,35.5,0.0,True,544.6
1,1,2026-01-01,MED024,Sitagliptin 100 mg,250.0,248.42,694.01,25.63,0.0,211.0,39.0,0.0,True,655.01
1,1,2026-01-01,MED025,Telma 40 Tablet,330.0,330.71,942.02,25.06,0.0,280.5,49.5,0.0,True,892.52
1,1,2026-01-01,MED026,Hydrochlorothiazide 25 mg,230.0,216.36,625.5,11.78,0.0,193.0,37.0,0.0,True,588.5
1,1,2026-01-01,MED027,Salbutamol Syrup,135.0,110.94,286.39,23.21,0.0,71.0,64.0,0.0,True,222.39
1,1,2026-01-01,MED028,Amoxicillin Clavulanate 625 mg,195.0,191.76,520.24,27.52,0.0,159.5,35.5,0.0,True,484.74
1,1,2026-01-01,MED029,Ondansetron 4 mg,145.0,124.36,356.21,8.44,0.0,109.5,35.5,0.0,True,320.71
1,1,2026-01-01,MED030,Dextromethorphan Syrup,185.0,165.83,473.63,11.92,0.0,142.5,42.5,0.0,True,431.13
1,1,2026-01-01,MED031,Insulin Glargine,540.0,489.83,1392.0,38.75,0.0,409.0,131.0,0.0,True,1261.0
1,1,2026-01-01,MED032,Lisinopril 10 mg,380.0,376.29,1076.97,25.95,0.0,340.0,40.0,0.0,True,1036.97
1,1,2026-01-01,MED033,Furosemide 40 mg,275.0,269.97,768.85,20.53,0.0,240.0,35.0,0.0,True,733.85
1,1,2026-01-01,MED034,Loratadine 10 mg,110.0,93.05,254.83,12.16,0.0,73.5,36.5,0.0,True,218.33
1,1,2026-01-01,MED035,Ciprofloxacin 500 mg,365.0,373.52,1072.08,24.24,0.0,322.0,43.0,0.0,True,1029.08
1,1,2026-01-01,MED036,Methylcobalamin 1500 mcg,190.0,200.23,550.93,24.87,0.0,163.0,27.0,0.0,True,523.93
1,1,2026-01-01,MED037,Prednisolone 10 mg,125.0,130.57,369.84,10.93,0.0,114.0,11.0,0.0,True,358.84
1,1,2026-01-01,MED038,Tramadol 50 mg,205.0,230.03,624.67,32.71,0.0,162.5,42.5,0.0,True,582.17
1,1,2026-01-01,MED039,Enoxaparin 40 mg,610.0,540.94,1540.62,41.1,0.0,451.0,159.0,0.0,True,1381.62
1,1,2026-01-01,MED040,Meropenem 1 g,470.0,468.94,1335.4,35.7,0.0,387.5,82.5,0.0,True,1252.9
1,1,2026-01-01,MED041,Linezolid 600 mg,445.0,444.65,1261.94,36.01,0.0,371.5,73.5,0.0,True,1188.44
1,1,2026-01-01,MED042,Doxycycline 100 mg,260.0,283.9,784.23,33.74,0.0,214.0,46.0,0.0,True,738.23
1,1,2026-01-01,MED043,ORS Sachets,105.0,90.11,248.29,11.03,0.0,77.0,28.0,0.0,True,220.29
1,1,2026-01-01,MED044,Human Albumin 20%,590.0,518.17,1472.39,41.07,0.0,437.0,153.0,0.0,True,1319.39
1,1,2026-01-01,MED045,Rabeprazole 20 mg,135.0,120.93,341.16,10.81,0.0,102.5,32.5,0.0,True,308.66
1,1,2026-01-01,MED046,Clindamycin 300 mg,200.0,202.53,553.85,26.87,0.0,149.0,51.0,0.0,True,502.85
1,1,2026-01-01,MED047,Fluconazole 150 mg,225.0,244.81,664.39,35.02,0.0,196.0,29.0,0.0,True,635.39
1,1,2026-01-01,MED048,Piperacillin Tazobactam 4.5 g,720.0,661.51,1875.37,54.58,0.0,556.5,163.5,0.0,True,1711.87
1,1,2026-01-01,MED049,Vancomycin 500 mg,630.0,525.22,1499.96,37.85,0.0,443.5,186.5,0.0,True,1313.46
1,1,2026-01-01,MED050,Levoquin 500mg Tablet,180.0,187.68,512.32,25.37,0.0,161.0,19.0,0.0,True,493.32
1,2,2026-01-01,MED001,Crocin 650 mg,847.63,297.89,847.63,23.03,754.63,247.0,600.63,0.0,False,0.0
1,2,2026-01-01,MED002,Brufen 400 Tablet,1127.59,400.14,1127.59,36.41,1018.59,311.0,816.59,0.0,False,0.0
1,2,2026-01-01,MED003,Amoxicillin 500 mg,473.63,167.44,473.63,14.34,434.63,141.0,332.63,0.0,False,0.0
1,2,2026-01-01,MED004,Cetirizine 10 mg,173.5,61.34,173.5,5.26,135.5,57.0,116.5,0.0,False,0.0
1,2,2026-01-01,MED005,Azithral 500 Tablet,806.78,283.91,806.78,22.48,757.78,241.0,565.78,0.0,False,0.0
1,2,2026-01-01,MED006,Metformin 500 mg tablet,469.78,175.82,469.78,28.85,436.78,117.0,352.78,0.0,False,0.0
1,2,2026-01-01,MED007,Omeprazole 20 mg,204.13,83.82,204.13,23.66,122.63,48.5,155.63,0.0,False,0.0
1,2,2026-01-01,MED008,Atorvastatin 10 mg,740.54,266.51,740.54,29.5,714.54,234.0,506.54,0.0,False,0.0
1,2,2026-01-01,MED009,Amloheal 5mg tablet,999.53,351.38,999.53,27.3,939.03,299.5,700.03,0.0,False,0.0
1,2,2026-01-01,MED010,Losar 50 Tablet,368.69,142.47,368.69,29.37,273.69,80.0,288.69,0.0,False,0.0
1,2,2026-01-01,MED011,Levothyrox50 mcg,1542.88,544.99,1542.88,46.05,1380.38,437.5,1105.38,0.0,False,0.0
1,2,2026-01-01,MED012,Pantop-D Capsule,620.55,223.46,620.55,24.92,569.55,189.0,431.55,0.0,False,0.0
1,2,2026-01-01,MED013,Rosuvastatin 10 mg,1746.96,610.69,1746.96,42.55,1547.96,511.0,1235.96,0.0,False,0.0
1,2,2026-01-01,MED014,Montek-10,905.53,321.15,905.53,28.95,850.03,254.5,651.03,0.0,False,0.0
1,2,2026-01-01,MED015,Diclofenac 50 mg,332.54,124.88,332.54,21.05,299.54,107.0,225.54,0.0,False,0.0
1,2,2026-01-01,MED016,Cefixime 200 mg,977.5,344.81,977.5,28.46,909.0,286.5,691.0,0.0,False,0.0
1,2,2026-01-01,MED017,Vitamin D3 60000 IU,1404.11,496.9,1404.11,43.29,1302.61,418.5,985.61,0.0,False,0.0
1,2,2026-01-01,MED018,Zinc Sulfate 50 mg,401.65,141.26,401.65,11.06,365.15,123.5,278.15,0.0,False,0.0
1,2,2026-01-01,MED019,Iron Folic Acid,361.02,137.45,361.02,25.67,348.52,107.5,253.52,0.0,False,0.0
1,2,2026-01-01,MED020,Calcium Carbonate,817.49,287.06,817.49,21.84,724.99,247.5,569.99,0.0,False,0.0
1,2,2026-01-01,MED021,Clopidogrel 75 mg,1123.25,393.6,1123.25,28.78,1063.25,330.0,793.25,0.0,False,0.0
1,2,2026-01-01,MED022,Ecosprin 75 Tablet,312.58,115.16,312.58,16.45,241.58,79.0,233.58,0.0,False,0.0
1,2,2026-01-01,MED023,Glimepiride 2 mg,580.1,205.76,580.1,18.6,544.6,174.5,405.6,0.0,False,0.0
1,2,2026-01-01,MED024,Sitagliptin 100 mg,694.01,248.42,694.01,25.63,655.01,211.0,483.01,0.0,False,0.0
1,2,2026-01-01,MED025,Telma 40 Tablet,942.02,330.71,942.02,25.06,892.52,280.5,661.52,0.0,False,0.0
1,2,2026-01-01,MED026,Hydrochlorothiazide 25 mg,625.5,216.36,625.5,11.78,588.5,193.0,432.5,0.0,False,0.0
1,2,2026-01-01,MED027,Salbutamol Syrup,286.39,110.94,286.39,23.21,222.39,71.0,215.39,0.0,False,0.0
1,2,2026-01-01,MED028,Amoxicillin Clavulanate 625 mg,520.24,191.76,520.24,27.52,484.74,159.5,360.74,0.0,False,0.0
1,2,2026-01-01,MED029,Ondansetron 4 mg,356.21,124.36,356.21,8.44,320.71,109.5,246.71,0.0,False,0.0
1,2,2026-01-01,MED030,Dextromethorphan Syrup,473.63,165.83,473.63,11.92,431.13,142.5,331.13,0.0,False,0.0
1,2,2026-01-01,MED031,Insulin Glargine,1392.0,489.83,1392.0,38.75,1261.0,409.0,983.0,0.0,False,0.0
1,2,2026-01-01,MED032,Lisinopril 10 mg,1076.97,376.29,1076.97,25.95,1036.97,340.0,736.97,0.0,False,0.0
1,2,2026-01-01,MED033,Furosemide 40 mg,768.85,269.97,768.85,20.53,733.85,240.0,528.85,0.0,False,0.0
1,2,2026-01-01,MED034,Loratadine 10 mg,254.83,93.05,254.83,12.16,218.33,73.5,181.33,0.0,False,0.0
1,2,2026-01-01,MED035,Ciprofloxacin 500 mg,1072.08,373.52,1072.08,24.24,1029.08,322.0,750.08,0.0,False,0.0
1,2,2026-01-01,MED036,Methylcobalamin 1500 mcg,550.93,200.23,550.93,24.87,523.93,163.0,387.93,0.0,False,0.0
1,2,2026-01-01,MED037,Prednisolone 10 mg,369.84,130.57,369.84,10.93,358.84,114.0,255.84,0.0,False,0.0
1,2,2026-01-01,MED038,Tramadol 50 mg,624.67,230.03,624.67,32.71,582.17,162.5,462.17,0.0,False,0.0
1,2,2026-01-01,MED039,Enoxaparin 40 mg,1540.62,540.94,1540.62,41.1,1381.62,451.0,1089.62,0.0,False,0.0
1,2,2026-01-01,MED040,Meropenem 1 g,1335.4,468.94,1335.4,35.7,1252.9,387.5,947.9,0.0,False,0.0
1,2,2026-01-01,MED041,Linezolid 600 mg,1261.94,444.65,1261.94,36.01,1188.44,371.5,890.44,0.0,False,0.0
1,2,2026-01-01,MED042,Doxycycline 100 mg,784.23,283.9,784.23,33.74,738.23,214.0,570.23,0.0,False,0.0
1,2,2026-01-01,MED043,ORS Sachets,248.29,90.11,248.29,11.03,220.29,77.0,171.29,0.0,False,0.0
1,2,2026-01-01,MED044,Human Albumin 20%,1472.39,518.17,1472.39,41.07,1319.39,437.0,1035.39,0.0,False,0.0
1,2,2026-01-01,MED045,Rabeprazole 20 mg,341.16,120.93,341.16,10.81,308.66,102.5,238.66,0.0,False,0.0
1,2,2026-01-01,MED046,Clindamycin 300 mg,553.85,202.53,553.85,26.87,502.85,149.0,404.85,0.0,False,0.0
1,2,2026-01-01,MED047,Fluconazole 150 mg,664.39,244.81,664.39,35.02,635.39,196.0,468.39,0.0,False,0.0
1,2,2026-01-01,MED048,Piperacillin Tazobactam 4.5 g,1875.37,661.51,1875.37,54.58,1711.87,556.5,1318.87,0.0,False,0.0
1,2,2026-01-01,MED049,Vancomycin 500 mg,1499.96,525.22,1499.96,37.85,1313.46,443.5,1056.46,0.0,False,0.0
1,2,2026-01-01,MED050,Levoquin 500mg Tablet,512.32,187.68,512.32,25.37,493.32,161.0,351.32,0.0,False,0.0
2,1,2026-02-01,MED001,Crocin 650 mg,600.63,297.89,847.63,23.03,0.0,265.5,335.13,0.0,False,0.0
2,1,2026-02-01,MED002,Brufen 400 Tablet,816.59,400.14,1127.59,36.41,0.0,332.5,484.09,0.0,False,0.0
2,1,2026-02-01,MED003,Amoxicillin 500 mg,332.63,167.44,473.63,14.34,0.0,145.0,187.63,0.0,False,0.0
2,1,2026-02-01,MED004,Cetirizine 10 mg,116.5,61.34,173.5,5.26,0.0,58.0,58.5,0.0,True,115.0
2,1,2026-02-01,MED005,Azithral 500 Tablet,565.78,283.91,806.78,22.48,0.0,247.0,318.78,0.0,False,0.0
2,1,2026-02-01,MED006,Metformin 500 mg tablet,352.78,175.82,469.78,28.85,0.0,132.0,220.78,0.0,False,0.0
2,1,2026-02-01,MED007,Omeprazole 20 mg,155.63,83.82,204.13,23.66,0.0,51.0,104.63,0.0,False,0.0
2,1,2026-02-01,MED008,Atorvastatin 10 mg,506.54,266.51,740.54,29.5,0.0,226.5,280.04,0.0,False,0.0
2,1,2026-02-01,MED009,Amloheal 5mg tablet,700.03,351.38,999.53,27.3,0.0,310.0,390.03,0.0,False,0.0
2,1,2026-02-01,MED010,Losar 50 Tablet,288.69,142.47,368.69,29.37,0.0,104.0,184.69,0.0,False,0.0
2,1,2026-02-01,MED011,Levothyrox50 mcg,1105.38,544.99,1542.88,46.05,0.0,449.5,655.88,0.0,False,0.0
2,1,2026-02-01,MED012,Pantop-D Capsule,431.55,223.46,620.55,24.92,0.0,169.5,262.05,0.0,False,0.0
2,1,2026-02-01,MED013,Rosuvastatin 10 mg,1235.96,610.69,1746.96,42.55,0.0,545.5,690.46,0.0,False,0.0
2,1,2026-02-01,MED014,Montek-10,651.03,321.15,905.53,28.95,0.0,279.5,371.53,0.0,False,0.0
2,1,2026-02-01,MED015,Diclofenac 50 mg,225.54,124.88,332.54,21.05,0.0,101.0,124.54,0.0,True,208.0
2,1,2026-02-01,MED016,Cefixime 200 mg,691.0,344.81,977.5,28.46,0.0,306.5,384.5,0.0,False,0.0
2,1,2026-02-01,MED017,Vitamin D3 60000 IU,985.61,496.9,1404.11,43.29,0.0,418.5,567.11,0.0,False,0.0
2,1,2026-02-01,MED018,Zinc Sulfate 50 mg,278.15,141.26,401.65,11.06,0.0,128.5,149.65,0.0,False,0.0
2,1,2026-02-01,MED019,Iron Folic Acid,253.52,137.45,361.02,25.67,0.0,117.0,136.52,0.0,True,224.5
2,1,2026-02-01,MED020,Calcium Carbonate,569.99,287.06,817.49,21.84,0.0,262.0,307.99,0.0,False,0.0
2,1,2026-02-01,MED021,Clopidogrel 75 mg,793.25,393.6,1123.25,28.78,0.0,338.5,454.75,0.0,False,0.0
2,1,2026-02-01,MED022,Ecosprin 75 Tablet,233.58,115.16,312.58,16.45,0.0,85.5,148.08,0.0,False,0.0
2,1,2026-02-01,MED023,Glimepiride 2 mg,405.6,205.76,580.1,18.6,0.0,176.5,229.1,0.0,False,0.0
2,1,2026-02-01,MED024,Sitagliptin 100 mg,483.01,248.42,694.01,25.63,0.0,207.5,275.51,0.0,False,0.0
2,1,2026-02-01,MED025,Telma 40 Tablet,661.52,330.71,942.02,25.06,0.0,278.5,383.02,0.0,False,0.0
2,1,2026-02-01,MED026,Hydrochlorothiazide 25 mg,432.5,216.36,625.5,11.78,0.0,201.5,231.0,0.0,False,0.0
2,1,2026-02-01,MED027,Salbutamol Syrup,215.39,110.94,286.39,23.21,0.0,93.0,122.39,0.0,False,0.0
2,1,2026-02-01,MED028,Amoxicillin Clavulanate 625 mg,360.74,191.76,520.24,27.52,0.0,166.0,194.74,0.0,False,0.0
2,1,2026-02-01,MED029,Ondansetron 4 mg,246.71,124.36,356.21,8.44,0.0,107.5,139.21,0.0,False,0.0
2,1,2026-02-01,MED030,Dextromethorphan Syrup,331.13,165.83,473.63,11.92,0.0,153.0,178.13,0.0,False,0.0
2,1,2026-02-01,MED031,Insulin Glargine,983.0,489.83,1392.0,38.75,0.0,430.0,553.0,0.0,False,0.0
2,1,2026-02-01,MED032,Lisinopril 10 mg,736.97,376.29,1076.97,25.95,0.0,355.0,381.97,0.0,False,0.0
2,1,2026-02-01,MED033,Furosemide 40 mg,528.85,269.97,768.85,20.53,0.0,234.0,294.85,0.0,False,0.0
2,1,2026-02-01,MED034,Loratadine 10 mg,181.33,93.05,254.83,12.16,0.0,64.5,116.83,0.0,False,0.0
2,1,2026-02-01,MED035,Ciprofloxacin 500 mg,750.08,373.52,1072.08,24.24,0.0,333.5,416.58,0.0,False,0.0
2,1,2026-02-01,MED036,Methylcobalamin 1500 mcg,387.93,200.23,550.93,24.87,0.0,142.0,245.93,0.0,False,0.0
2,1,2026-02-01,MED037,Prednisolone 10 mg,255.84,130.57,369.84,10.93,0.0,115.0,140.84,0.0,False,0.0
2,1,2026-02-01,MED038,Tramadol 50 mg,462.17,230.03,624.67,32.71,0.0,184.0,278.17,0.0,False,0.0
2,1,2026-02-01,MED039,Enoxaparin 40 mg,1089.62,540.94,1540.62,41.1,0.0,485.0,604.62,0.0,False,0.0
2,1,2026-02-01,MED040,Meropenem 1 g,947.9,468.94,1335.4,35.7,0.0,415.5,532.4,0.0,False,0.0
2,1,2026-02-01,MED041,Linezolid 600 mg,890.44,444.65,1261.94,36.01,0.0,387.0,503.44,0.0,False,0.0
2,1,2026-02-01,MED042,Doxycycline 100 mg,570.23,283.9,784.23,33.74,0.0,259.5,310.73,0.0,False,0.0
2,1,2026-02-01,MED043,ORS Sachets,171.29,90.11,248.29,11.03,0.0,79.0,92.29,0.0,False,0.0
2,1,2026-02-01,MED044,Human Albumin 20%,1035.39,518.17,1472.39,41.07,0.0,447.5,587.89,0.0,False,0.0
2,1,2026-02-01,MED045,Rabeprazole 20 mg,238.66,120.93,341.16,10.81,0.0,117.0,121.66,0.0,False,0.0
2,1,2026-02-01,MED046,Clindamycin 300 mg,404.85,202.53,553.85,26.87,0.0,174.5,230.35,0.0,False,0.0
2,1,2026-02-01,MED047,Fluconazole 150 mg,468.39,244.81,664.39,35.02,0.0,206.5,261.89,0.0,False,0.0
2,1,2026-02-01,MED048,Piperacillin Tazobactam 4.5 g,1318.87,661.51,1875.37,54.58,0.0,563.0,755.87,0.0,False,0.0
2,1,2026-02-01,MED049,Vancomycin 500 mg,1056.46,525.22,1499.96,37.85,0.0,466.5,589.96,0.0,False,0.0
2,1,2026-02-01,MED050,Levoquin 500mg Tablet,351.32,187.68,512.32,25.37,0.0,143.0,208.32,0.0,False,0.0
2,2,2026-02-01,MED001,Crocin 650 mg,335.13,297.89,847.63,23.03,0.0,265.5,69.63,0.0,True,778.0
2,2,2026-02-01,MED002,Brufen 400 Tablet,484.09,400.14,1127.59,36.41,0.0,332.5,151.59,0.0,True,976.0
2,2,2026-02-01,MED003,Amoxicillin 500 mg,187.63,167.44,473.63,14.34,0.0,145.0,42.63,0.0,True,431.0
2,2,2026-02-01,MED004,Cetirizine 10 mg,173.5,61.34,173.5,5.26,115.0,58.0,115.5,0.0,False,0.0
2,2,2026-02-01,MED005,Azithral 500 Tablet,318.78,283.91,806.78,22.48,0.0,247.0,71.78,0.0,True,735.0
2,2,2026-02-01,MED006,Metformin 500 mg tablet,220.78,175.82,469.78,28.85,0.0,132.0,88.78,0.0,True,381.0
2,2,2026-02-01,MED007,Omeprazole 20 mg,104.63,83.82,204.13,23.66,0.0,51.0,53.63,0.0,True,150.5
2,2,2026-02-01,MED008,Atorvastatin 10 mg,280.04,266.51,740.54,29.5,0.0,226.5,53.54,0.0,True,687.0
2,2,2026-02-01,MED009,Amloheal 5mg tablet,390.03,351.38,999.53,27.3,0.0,310.0,80.03,0.0,True,919.5
2,2,2026-02-01,MED010,Losar 50 Tablet,184.69,142.47,368.69,29.37,0.0,104.0,80.69,0.0,True,288.0
2,2,2026-02-01,MED011,Levothyrox50 mcg,655.88,544.99,1542.88,46.05,0.0,449.5,206.38,0.0,True,1336.5
2,2,2026-02-01,MED012,Pantop-D Capsule,262.05,223.46,620.55,24.92,0.0,169.5,92.55,0.0,True,528.0
2,2,2026-02-01,MED013,Rosuvastatin 10 mg,690.46,610.69,1746.96,42.55,0.0,545.5,144.96,0.0,True,1602.0
2,2,2026-02-01,MED014,Montek-10,371.53,321.15,905.53,28.95,0.0,279.5,92.03,0.0,True,813.5
2,2,2026-02-01,MED015,Diclofenac 50 mg,332.54,124.88,332.54,21.05,208.0,101.0,231.54,0.0,False,0.0
2,2,2026-02-01,MED016,Cefixime 200 mg,384.5,344.81,977.5,28.46,0.0,306.5,78.0,0.0,True,899.5
2,2,2026-02-01,MED017,Vitamin D3 60000 IU,567.11,496.9,1404.11,43.29,0.0,418.5,148.61,0.0,True,1255.5
2,2,2026-02-01,MED018,Zinc Sulfate 50 mg,149.65,141.26,401.65,11.06,0.0,128.5,21.15,0.0,True,380.5
2,2,2026-02-01,MED019,Iron Folic Acid,361.02,137.45,361.02,25.67,224.5,117.0,244.02,0.0,False,0.0
2,2,2026-02-01,MED020,Calcium Carbonate,307.99,287.06,817.49,21.84,0.0,262.0,45.99,0.0,True,771.5
2,2,2026-02-01,MED021,Clopidogrel 75 mg,454.75,393.6,1123.25,28.78,0.0,338.5,116.25,0.0,True,1007.0
2,2,2026-02-01,MED022,Ecosprin 75 Tablet,148.08,115.16,312.58,16.45,0.0,85.5,62.58,0.0,True,250.0
2,2,2026-02-01,MED023,Glimepiride 2 mg,229.1,205.76,580.1,18.6,0.0,176.5,52.6,0.0,True,527.5
2,2,2026-02-01,MED024,Sitagliptin 100 mg,275.51,248.42,694.01,25.63,0.0,207.5,68.01,0.0,True,626.0
2,2,2026-02-01,MED025,Telma 40 Tablet,383.02,330.71,942.02,25.06,0.0,278.5,104.52,0.0,True,837.5
2,2,2026-02-01,MED026,Hydrochlorothiazide 25 mg,231.0,216.36,625.5,11.78,0.0,201.5,29.5,0.0,True,596.0
2,2,2026-02-01,MED027,Salbutamol Syrup,122.39,110.94,286.39,23.21,0.0,93.0,29.39,0.0,True,257.0
2,2,2026-02-01,MED028,Amoxicillin Clavulanate 625 mg,194.74,191.76,520.24,27.52,0.0,166.0,28.74,0.0,True,491.5
2,2,2026-02-01,MED029,Ondansetron 4 mg,139.21,124.36,356.21,8.44,0.0,107.5,31.71,0.0,True,324.5
2,2,2026-02-01,MED030,Dextromethorphan Syrup,178.13,165.83,473.63,11.92,0.0,153.0,25.13,0.0,True,448.5
2,2,2026-02-01,MED031,Insulin Glargine,553.0,489.83,1392.0,38.75,0.0,430.0,123.0,0.0,True,1269.0
2,2,2026-02-01,MED032,Lisinopril 10 mg,381.97,376.29,1076.97,25.95,0.0,355.0,26.97,0.0,True,1050.0
2,2,2026-02-01,MED033,Furosemide 40 mg,294.85,269.97,768.85,20.53,0.0,234.0,60.85,0.0,True,708.0
2,2,2026-02-01,MED034,Loratadine 10 mg,116.83,93.05,254.83,12.16,0.0,64.5,52.33,0.0,True,202.5
2,2,2026-02-01,MED035,Ciprofloxacin 500 mg,416.58,373.52,1072.08,24.24,0.0,333.5,83.08,0.0,True,989.0
2,2,2026-02-01,MED036,Methylcobalamin 1500 mcg,245.93,200.23,550.93,24.87,0.0,142.0,103.93,0.0,True,447.0
2,2,2026-02-01,MED037,Prednisolone 10 mg,140.84,130.57,369.84,10.93,0.0,115.0,25.84,0.0,True,344.0
2,2,2026-02-01,MED038,Tramadol 50 mg,278.17,230.03,624.67,32.71,0.0,184.0,94.17,0.0,True,530.5
2,2,2026-02-01,MED039,Enoxaparin 40 mg,604.62,540.94,1540.62,41.1,0.0,485.0,119.62,0.0,True,1421.0
2,2,2026-02-01,MED040,Meropenem 1 g,532.4,468.94,1335.4,35.7,0.0,415.5,116.9,0.0,True,1218.5
2,2,2026-02-01,MED041,Linezolid 600 mg,503.44,444.65,1261.94,36.01,0.0,387.0,116.44,0.0,True,1145.5
2,2,2026-02-01,MED042,Doxycycline 100 mg,310.73,283.9,784.23,33.74,0.0,259.5,51.23,0.0,True,733.0
2,2,2026-02-01,MED043,ORS Sachets,92.29,90.11,248.29,11.03,0.0,79.0,13.29,0.0,True,235.0
2,2,2026-02-01,MED044,Human Albumin 20%,587.89,518.17,1472.39,41.07,0.0,447.5,140.39,0.0,True,1332.0
2,2,2026-02-01,MED045,Rabeprazole 20 mg,121.66,120.93,341.16,10.81,0.0,117.0,4.66,0.0,True,336.5
2,2,2026-02-01,MED046,Clindamycin 300 mg,230.35,202.53,553.85,26.87,0.0,174.5,55.85,0.0,True,498.0
2,2,2026-02-01,MED047,Fluconazole 150 mg,261.89,244.81,664.39,35.02,0.0,206.5,55.39,0.0,True,609.0
2,2,2026-02-01,MED048,Piperacillin Tazobactam 4.5 g,755.87,661.51,1875.37,54.58,0.0,563.0,192.87,0.0,True,1682.5
2,2,2026-02-01,MED049,Vancomycin 500 mg,589.96,525.22,1499.96,37.85,0.0,466.5,123.46,0.0,True,1376.5
2,2,2026-02-01,MED050,Levoquin 500mg Tablet,208.32,187.68,512.32,25.37,0.0,143.0,65.32,0.0,True,447.0
3,1,2026-03-01,MED001,Crocin 650 mg,847.63,297.89,847.63,23.03,778.0,172.5,675.13,0.0,False,0.0
3,1,2026-03-01,MED002,Brufen 400 Tablet,1127.59,400.14,1127.59,36.41,976.0,233.0,894.59,0.0,False,0.0
3,1,2026-03-01,MED003,Amoxicillin 500 mg,473.63,167.44,473.63,14.34,431.0,95.5,378.13,0.0,False,0.0
3,1,2026-03-01,MED004,Cetirizine 10 mg,115.5,61.34,173.5,5.26,0.0,41.5,74.0,0.0,False,0.0
3,1,2026-03-01,MED005,Azithral 500 Tablet,806.78,283.91,806.78,22.48,735.0,147.5,659.28,0.0,False,0.0
3,1,2026-03-01,MED006,Metformin 500 mg tablet,469.78,175.82,469.78,28.85,381.0,96.0,373.78,0.0,False,0.0
3,1,2026-03-01,MED007,Omeprazole 20 mg,204.13,83.82,204.13,23.66,150.5,42.0,162.13,0.0,False,0.0
3,1,2026-03-01,MED008,Atorvastatin 10 mg,740.54,266.51,740.54,29.5,687.0,155.5,585.04,0.0,False,0.0
3,1,2026-03-01,MED009,Amloheal 5mg tablet,999.53,351.38,999.53,27.3,919.5,200.0,799.53,0.0,False,0.0
3,1,2026-03-01,MED010,Losar 50 Tablet,368.69,142.47,368.69,29.37,288.0,53.0,315.69,0.0,False,0.0
